SelectedTime,月份,日期,时刻,总能耗,1# 空调,2# 空调,1# 照明,2# 照明,t(C),h(kJ/kga),RH(%),当前时刻太阳辐射
2016/7/8 7:00,7,8,7,18.53,3.6,2.03,8.192,4.708,22.5,62.78,92,0
2016/7/8 8:00,7,8,8,44.12,10.88,7.24,16.912,9.088,22.8,62.94,90,0
2016/7/8 9:00,7,8,9,63.9,26.32,10.52,15.544,11.516,23,63.18,89,0
2016/7/8 10:00,7,8,10,61.93,21.2,13.3,16.032,11.398,24.7,65.79,82,204
2016/7/8 11:00,7,8,11,58.95,20.24,13.22,14.744,10.746,26,66.63,75,720
2016/7/8 12:00,7,8,12,52.6,20.64,10.57,11.8,9.59,27.3,68.89,71,268
2016/7/8 13:00,7,8,13,65.31,29.04,12.01,13.304,10.956,27,66.67,69,617
2016/7/8 14:00,7,8,14,74.56,31.68,15.54,15.28,12.06,26.2,66.21,73,529
2016/7/8 15:00,7,8,15,70.9,30.4,13.69,14.512,12.298,25.4,65.1,76,391
2016/7/8 16:00,7,8,16,60.28,21.92,12.05,14.304,12.006,24.9,65.46,80,248
2016/7/8 17:00,7,8,17,50.47,18.16,11.3,11.056,9.954,24.6,64.92,81,87
2016/7/8 18:00,7,8,18,28.18,5.44,7.34,9.12,6.28,24.1,63.68,82,0
2016/7/8 19:00,7,8,19,21.53,5.2,3.91,7.736,4.684,23.1,63.53,89,0
2016/7/8 20:00,7,8,20,16.59,3.28,2.04,7.504,3.766,23,63.18,89,0
2016/7/8 21:00,7,8,21,11.32,2.32,2.14,4.824,2.036,22.8,63.39,91,0
2016/7/9 7:00,7,9,7,10.59,2.4,1.5,4.656,2.034,23.1,65.39,93,322
2016/7/9 8:00,7,9,8,11.66,3.12,1.71,4.64,2.19,24,66.28,88,455
2016/7/9 9:00,7,9,9,19.31,6.4,5.52,5.08,2.31,26.1,69.21,79,558
2016/7/9 10:00,7,9,10,19.75,6.4,5.51,5.56,2.28,27.9,72.28,73,460
2016/7/9 11:00,7,9,11,21.37,5.76,7.1,5.96,2.55,27.6,70.57,72,364
2016/7/9 12:00,7,9,12,21.07,4.08,8.92,5.648,2.422,28.4,72.86,71,641
2016/7/9 13:00,7,9,13,23.53,4.48,11.15,5.472,2.428,28.7,70.71,66,450
2016/7/9 14:00,7,9,14,21.87,4.4,10.02,5.136,2.314,28.5,71.29,68,214
2016/7/9 15:00,7,9,15,17.56,5.44,4.72,5.12,2.28,27.3,68.29,70,113
2016/7/9 16:00,7,9,16,15.59,5.28,2.77,5.344,2.196,25.5,67.59,80,45
2016/7/9 17:00,7,9,17,15.31,4.48,2.48,5.776,2.574,25.9,67.94,78,42
2016/7/9 18:00,7,9,18,14.73,4.16,2.35,5.672,2.548,25.1,66.17,80,0
2016/7/9 19:00,7,9,19,15.15,3.52,2.58,6.56,2.49,24.9,65.46,80,0
2016/7/9 20:00,7,9,20,15.26,3.76,2,7.168,2.332,24.2,64.53,83,0
2016/7/9 21:00,7,9,21,12.8,2.64,2.06,6.024,2.076,23.5,63.53,86,0
2016/7/10 7:00,7,10,7,11.34,2.32,2.22,4.664,2.136,25.8,63.21,70,317
2016/7/10 8:00,7,10,8,13.39,3.92,2.19,4.92,2.36,26.9,64.58,66,462
2016/7/10 9:00,7,10,9,16.62,5.12,4.08,4.96,2.46,28.8,63.89,55,568
2016/7/10 10:00,7,10,10,21.11,7.76,5.53,5.48,2.34,29,67.81,60,649
2016/7/10 11:00,7,10,11,17.15,5.68,4.12,5.128,2.222,29.9,68.76,57,680
2016/7/10 12:00,7,10,12,15.06,3.92,4,5.04,2.1,30.2,69.05,56,670
2016/7/10 13:00,7,10,13,16.73,4.96,4.66,5.048,2.062,30,69.09,57,608
2016/7/10 14:00,7,10,14,21.95,8.56,5.89,5.456,2.044,29.5,70.16,61,508
2016/7/10 15:00,7,10,15,22.17,8.24,6.24,5.648,2.042,29.5,69.48,60,387
2016/7/10 16:00,7,10,16,18.38,5.28,5.55,5.472,2.078,29.3,67.47,58,242
2016/7/10 17:00,7,10,17,16.98,4.8,4.93,5.192,2.058,28.2,66.44,62,89
2016/7/10 18:00,7,10,18,14.59,3.44,4.06,4.952,2.138,28,66.41,63,0
2016/7/10 19:00,7,10,19,12.51,2.48,2.73,5.112,2.188,26.7,66.23,70,0
2016/7/10 20:00,7,10,20,13.94,2.8,3.25,5.824,2.066,25,66.86,82,0
2016/7/10 21:00,7,10,21,12.97,2.16,2.24,6.52,2.05,24.5,68.63,89,0
2016/7/11 7:00,7,11,7,24.2,7.52,3.18,8.432,5.068,26.5,61.57,63,321
2016/7/11 8:00,7,11,8,88.82,45.76,14.27,18.504,10.286,27.7,62.37,58,450
2016/7/11 9:00,7,11,9,129.91,69.92,28.87,21.968,9.152,29.1,63.51,53,610
2016/7/11 10:00,7,11,10,134.57,65.84,35.96,23.496,9.274,28.8,63.89,55,657
2016/7/11 11:00,7,11,11,100.7,38,32.82,21.032,8.848,28.3,65.51,60,693
2016/7/11 12:00,7,11,12,64.88,17.84,25.82,14.32,6.9,28.4,64.57,58,671
2016/7/11 13:00,7,11,13,77.36,30.32,23.51,15.28,8.25,28.4,63.93,57,614
2016/7/11 14:00,7,11,14,94.29,38.48,27.75,19.44,8.62,27.9,65.46,62,522
2016/7/11 15:00,7,11,15,91.13,35.52,27.37,19.664,8.576,29.2,63.81,53,395
2016/7/11 16:00,7,11,16,81.09,28.64,24.67,19.416,8.364,28.7,63.58,55,228
2016/7/11 17:00,7,11,17,80.28,35.52,20.55,13.888,10.322,28.1,56.18,46,23
2016/7/11 18:00,7,11,18,58.22,25.2,13.63,10.368,9.022,24.8,65.63,81,0
2016/7/11 19:00,7,11,19,34.26,11.6,8.53,8.512,5.618,24.6,66.45,84,0
2016/7/11 20:00,7,11,20,20.15,4.56,4.7,7.768,3.122,24,66.28,88,0
2016/7/11 21:00,7,11,21,18.23,2.8,5.49,7.208,2.732,24.1,65.66,86,0
2016/7/12 7:00,7,12,7,35.83,14.88,5.18,8.96,6.81,27,69.61,74,327
2016/7/12 8:00,7,12,8,142.14,90.16,17.59,21.432,12.958,27.7,69.7,70,452
2016/7/12 9:00,7,12,9,145.2,84.64,26.31,21.656,12.594,30,75.41,66,561
2016/7/12 10:00,7,12,10,147.95,85.52,28.93,21.344,12.156,30,75.41,66,638
2016/7/12 11:00,7,12,11,137.71,72.08,32.13,20.992,12.508,32.2,75.12,55,662
2016/7/12 12:00,7,12,12,121.74,63.44,29.82,18.096,10.384,32.2,75.12,55,667
2016/7/12 13:00,7,12,13,130.55,68.48,30.78,19.056,12.234,32.2,72.73,52,619
2016/7/12 14:00,7,12,14,127.65,59.6,34.13,20.68,13.24,32.2,72.73,52,559
2016/7/12 15:00,7,12,15,119.93,49.92,35.99,21.192,12.828,30,69.79,58,266
2016/7/12 16:00,7,12,16,115.91,48.48,33.26,21.232,12.938,28.8,68.45,62,262
2016/7/12 17:00,7,12,17,71.27,22.24,25.97,15.48,7.58,28.8,68.45,62,34
