Datetime,total_value,VRF1_value,VRF2_value,lighting1_value,lighting2_value,temperature,enthalpy,relative_humidity,radiation,Hour,DayOfWeek,Quarter,Month,Year,DayOfYear,DayOfMonth,WeekOfYear,DayOfYearFloat,Time_state,Working_state,lighting2_value_SECF
2016-07-08 07:00:00,18.53,3.6,2.03,8.192,4.708,22.5,62.78,92,0.0,7,4,3,7,2016,190,8,27,190.29166666666666,0,1,6.05
2016-07-08 08:00:00,44.12,10.88,7.24,16.912,9.088,22.8,62.94,90,0.0,8,4,3,7,2016,190,8,27,190.33333333333334,1,1,9.93
2016-07-08 09:00:00,63.9,26.32,10.52,15.544,11.516,23.0,63.18,89,0.0,9,4,3,7,2016,190,8,27,190.375,1,1,9.233333333333334
2016-07-08 10:00:00,61.93,21.2,13.3,16.032,11.398,24.7,65.79,82,204.0,10,4,3,7,2016,190,8,27,190.41666666666666,1,1,9.550666666666666
2016-07-08 11:00:00,58.95,20.24,13.22,14.744,10.746,26.0,66.63,75,720.0,11,4,3,7,2016,190,8,27,190.45833333333334,1,1,8.370666666666667
2016-07-08 12:00:00,52.6,20.64,10.57,11.8,9.59,27.3,68.89,71,268.0,12,4,3,7,2016,190,8,27,190.5,1,1,6.88
2016-07-08 13:00:00,65.31,29.04,12.01,13.304,10.956,27.0,66.67,69,617.0,13,4,3,7,2016,190,8,27,190.54166666666666,1,1,8.338666666666667
2016-07-08 14:00:00,74.56,31.68,15.54,15.28,12.06,26.2,66.21,73,529.0,14,4,3,7,2016,190,8,27,190.58333333333334,1,1,9.331333333333333
2016-07-08 15:00:00,70.9,30.4,13.69,14.512,12.298,25.4,65.1,76,391.0,15,4,3,7,2016,190,8,27,190.625,1,1,9.097333333333333
2016-07-08 16:00:00,60.28,21.92,12.05,14.304,12.006,24.9,65.46,80,248.0,16,4,3,7,2016,190,8,27,190.66666666666666,1,1,8.662666666666667
2016-07-08 17:00:00,50.47,18.16,11.3,11.056,9.954,24.6,64.92,81,87.0,17,4,3,7,2016,190,8,27,190.70833333333334,1,1,6.513999999999999
2016-07-08 18:00:00,28.18,5.44,7.34,9.12,6.28,24.1,63.68,82,0.0,18,4,3,7,2016,190,8,27,190.75,0,1,4.6193333333333335
2016-07-08 19:00:00,21.53,5.2,3.91,7.736,4.684,23.1,63.53,89,0.0,19,4,3,7,2016,190,8,27,190.79166666666666,0,1,4.351333333333334
2016-07-08 20:00:00,16.59,3.28,2.04,7.504,3.766,23.0,63.18,89,0.0,20,4,3,7,2016,190,8,27,190.83333333333334,0,1,3.914
2016-07-08 21:00:00,11.32,2.32,2.14,4.824,2.036,22.8,63.39,91,0.0,21,4,3,7,2016,190,8,27,190.875,0,1,2.9746666666666663
2016-07-09 07:00:00,10.59,2.4,1.5,4.656,2.034,23.1,65.39,93,322.0,7,5,3,7,2016,191,9,27,191.29166666666666,0,1,2.5413333333333337
2016-07-09 08:00:00,11.66,3.12,1.71,4.64,2.19,24.0,66.28,88,455.0,8,5,3,7,2016,191,9,27,191.33333333333334,1,1,3.1839999999999997
2016-07-09 09:00:00,19.31,6.4,5.52,5.08,2.31,26.1,69.21,79,558.0,9,5,3,7,2016,191,9,27,191.375,1,1,3.3066666666666666
2016-07-09 10:00:00,19.75,6.4,5.51,5.56,2.28,27.9,72.28,73,460.0,10,5,3,7,2016,191,9,27,191.41666666666666,1,1,3.156
2016-07-09 11:00:00,21.37,5.76,7.1,5.96,2.55,27.6,70.57,72,364.0,11,5,3,7,2016,191,9,27,191.45833333333334,1,1,3.218666666666667
2016-07-09 12:00:00,21.07,4.08,8.92,5.648,2.422,28.4,72.86,71,641.0,12,5,3,7,2016,191,9,27,191.5,1,1,2.8861904763333333
2016-07-09 13:00:00,23.53,4.48,11.15,5.472,2.428,28.7,70.71,66,450.0,13,5,3,7,2016,191,9,27,191.54166666666666,1,1,3.017047619
2016-07-09 14:00:00,21.87,4.4,10.02,5.136,2.314,28.5,71.29,68,214.0,14,5,3,7,2016,191,9,27,191.58333333333334,1,1,2.7585714286666665
2016-07-09 15:00:00,17.56,5.44,4.72,5.12,2.28,27.3,68.29,70,113.0,15,5,3,7,2016,191,9,27,191.625,1,1,2.6000952379999998
2016-07-09 16:00:00,15.59,5.28,2.77,5.344,2.196,25.5,67.59,80,45.0,16,5,3,7,2016,191,9,27,191.66666666666666,1,1,2.562952381
2016-07-09 17:00:00,15.31,4.48,2.48,5.776,2.574,25.9,67.94,78,42.0,17,5,3,7,2016,191,9,27,191.70833333333334,1,1,2.395142857
2016-07-09 18:00:00,14.73,4.16,2.35,5.672,2.548,25.1,66.17,80,0.0,18,5,3,7,2016,191,9,27,191.75,0,1,2.4457777776666667
2016-07-09 19:00:00,15.15,3.52,2.58,6.56,2.49,24.9,65.46,80,0.0,19,5,3,7,2016,191,9,27,191.79166666666666,0,1,2.720888889
2016-07-09 20:00:00,15.26,3.76,2.0,7.168,2.332,24.2,64.53,83,0.0,20,5,3,7,2016,191,9,27,191.83333333333334,0,1,2.941333333333333
2016-07-09 21:00:00,12.8,2.64,2.06,6.024,2.076,23.5,63.53,86,0.0,21,5,3,7,2016,191,9,27,191.875,0,1,2.501333333333333
2016-07-10 07:00:00,11.34,2.32,2.22,4.664,2.136,25.8,63.21,70,317.0,7,6,3,7,2016,192,10,27,192.29166666666666,0,0,2.063333333333333
2016-07-10 08:00:00,13.39,3.92,2.19,4.92,2.36,26.9,64.58,66,462.0,8,6,3,7,2016,192,10,27,192.33333333333334,1,0,2.4213333333333336
2016-07-10 09:00:00,16.62,5.12,4.08,4.96,2.46,28.8,63.89,55,568.0,9,6,3,7,2016,192,10,27,192.375,1,0,2.642
2016-07-10 10:00:00,21.11,7.76,5.53,5.48,2.34,29.0,67.81,60,649.0,10,6,3,7,2016,192,10,27,192.41666666666666,1,0,2.937333333333333
2016-07-10 11:00:00,17.15,5.68,4.12,5.128,2.222,29.9,68.76,57,680.0,11,6,3,7,2016,192,10,27,192.45833333333334,1,0,2.595333333333333
2016-07-10 12:00:00,15.06,3.92,4.0,5.04,2.1,30.2,69.05,56,670.0,12,6,3,7,2016,192,10,27,192.5,1,0,2.39
2016-07-10 13:00:00,16.73,4.96,4.66,5.048,2.062,30.0,69.09,57,608.0,13,6,3,7,2016,192,10,27,192.54166666666666,1,0,2.3793333333333333
2016-07-10 14:00:00,21.95,8.56,5.89,5.456,2.044,29.5,70.16,61,508.0,14,6,3,7,2016,192,10,27,192.58333333333334,1,0,2.4339999999999997
2016-07-10 15:00:00,22.17,8.24,6.24,5.648,2.042,29.5,69.48,60,387.0,15,6,3,7,2016,192,10,27,192.625,1,0,2.675333333333333
2016-07-10 16:00:00,18.38,5.28,5.55,5.472,2.078,29.3,67.47,58,242.0,16,6,3,7,2016,192,10,27,192.66666666666666,1,0,2.54
2016-07-10 17:00:00,16.98,4.8,4.93,5.192,2.058,28.2,66.44,62,89.0,17,6,3,7,2016,192,10,27,192.70833333333334,1,0,2.5719999999999996
2016-07-10 18:00:00,14.59,3.44,4.06,4.952,2.138,28.0,66.41,63,0.0,18,6,3,7,2016,192,10,27,192.75,0,0,2.3800000000000003
2016-07-10 19:00:00,12.51,2.48,2.73,5.112,2.188,26.7,66.23,70,0.0,19,6,3,7,2016,192,10,27,192.79166666666666,0,0,2.1966666666666668
2016-07-10 20:00:00,13.94,2.8,3.25,5.824,2.066,25.0,66.86,82,0.0,20,6,3,7,2016,192,10,27,192.83333333333334,0,0,2.068
2016-07-10 21:00:00,12.97,2.16,2.24,6.52,2.05,24.5,68.63,89,0.0,21,6,3,7,2016,192,10,27,192.875,0,0,2.082666666666667
2016-07-11 07:00:00,24.2,7.52,3.18,8.432,5.068,26.5,61.57,63,321.0,7,0,3,7,2016,193,11,28,193.29166666666666,0,0,6.457333333333334
2016-07-11 08:00:00,88.82,45.76,14.27,18.504,10.286,27.7,62.37,58,450.0,8,0,3,7,2016,193,11,28,193.33333333333334,1,0,13.82
2016-07-11 09:00:00,129.91,69.92,28.87,21.968,9.152,29.1,63.51,53,610.0,9,0,3,7,2016,193,11,28,193.375,1,0,13.385333333333334
2016-07-11 10:00:00,134.57,65.84,35.96,23.496,9.274,28.8,63.89,55,657.0,10,0,3,7,2016,193,11,28,193.41666666666666,1,0,11.362666666666668
2016-07-11 11:00:00,100.7,38.0,32.82,21.032,8.848,28.3,65.51,60,693.0,11,0,3,7,2016,193,11,28,193.45833333333334,1,0,10.096666666666666
2016-07-11 12:00:00,64.88,17.84,25.82,14.32,6.9,28.4,64.57,58,671.0,12,0,3,7,2016,193,11,28,193.5,1,0,7.914666666666666
2016-07-11 13:00:00,77.36,30.32,23.51,15.28,8.25,28.4,63.93,57,614.0,13,0,3,7,2016,193,11,28,193.54166666666666,1,0,9.043999999999999
2016-07-11 14:00:00,94.29,38.48,27.75,19.44,8.62,27.9,65.46,62,522.0,14,0,3,7,2016,193,11,28,193.58333333333334,1,0,10.394666666666668
2016-07-11 15:00:00,91.13,35.52,27.37,19.664,8.576,29.2,63.81,53,395.0,15,0,3,7,2016,193,11,28,193.625,1,0,10.227333333333332
2016-07-11 16:00:00,81.09,28.64,24.67,19.416,8.364,28.7,63.58,55,228.0,16,0,3,7,2016,193,11,28,193.66666666666666,1,0,10.762
2016-07-11 17:00:00,80.28,35.52,20.55,13.888,10.322,28.1,56.18,46,23.0,17,0,3,7,2016,193,11,28,193.70833333333334,1,0,8.521333333333335
2016-07-11 18:00:00,58.22,25.2,13.63,10.368,9.022,24.8,65.63,81,0.0,18,0,3,7,2016,193,11,28,193.75,0,0,5.153333333333333
2016-07-11 19:00:00,34.26,11.6,8.53,8.512,5.618,24.6,66.45,84,0.0,19,0,3,7,2016,193,11,28,193.79166666666666,0,0,4.31
2016-07-11 20:00:00,20.15,4.56,4.7,7.768,3.122,24.0,66.28,88,0.0,20,0,3,7,2016,193,11,28,193.83333333333334,0,0,4.021333333333334
2016-07-11 21:00:00,18.23,2.8,5.49,7.208,2.732,24.1,65.66,86,0.0,21,0,3,7,2016,193,11,28,193.875,0,0,3.832666666666667
2016-07-12 07:00:00,35.83,14.88,5.18,8.96,6.81,27.0,69.61,74,327.0,7,1,3,7,2016,194,12,28,194.29166666666666,0,1,4.754
2016-07-12 08:00:00,142.14,90.16,17.59,21.432,12.958,27.7,69.7,70,452.0,8,1,3,7,2016,194,12,28,194.33333333333334,1,1,11.135333333333334
2016-07-12 09:00:00,145.2,84.64,26.31,21.656,12.594,30.0,75.41,66,561.0,9,1,3,7,2016,194,12,28,194.375,1,1,10.566
2016-07-12 10:00:00,147.95,85.52,28.93,21.344,12.156,30.0,75.41,66,638.0,10,1,3,7,2016,194,12,28,194.41666666666666,1,1,11.165333333333331
2016-07-12 11:00:00,137.71,72.08,32.13,20.992,12.508,32.2,75.12,55,662.0,11,1,3,7,2016,194,12,28,194.45833333333334,1,1,10.058666666666667
2016-07-12 12:00:00,121.74,63.44,29.82,18.096,10.384,32.2,75.12,55,667.0,12,1,3,7,2016,194,12,28,194.5,1,1,8.584000000000001
2016-07-12 13:00:00,130.55,68.48,30.78,19.056,12.234,32.2,72.73,52,619.0,13,1,3,7,2016,194,12,28,194.54166666666666,1,1,10.228
2016-07-12 14:00:00,127.65,59.6,34.13,20.68,13.24,32.2,72.73,52,559.0,14,1,3,7,2016,194,12,28,194.58333333333334,1,1,11.359333333333334
2016-07-12 15:00:00,119.93,49.92,35.99,21.192,12.828,30.0,69.79,58,266.0,15,1,3,7,2016,194,12,28,194.625,1,1,10.981333333333334
2016-07-12 16:00:00,115.91,48.48,33.26,21.232,12.938,28.8,68.45,62,262.0,16,1,3,7,2016,194,12,28,194.66666666666666,1,1,11.421333333333335
2016-07-12 17:00:00,71.27,22.24,25.97,15.48,7.58,28.8,68.45,62,34.0,17,1,3,7,2016,194,12,28,194.70833333333334,1,1,9.656666666666666
2016-07-12 18:00:00,38.82,8.0,16.12,9.744,4.956,27.2,67.95,70,0.0,18,1,3,7,2016,194,12,28,194.75,0,1,7.992
2016-07-12 19:00:00,25.0,4.08,8.65,8.376,3.894,27.0,64.32,65,0.0,19,1,3,7,2016,194,12,28,194.79166666666666,0,1,6.939333333333333
2016-07-12 20:00:00,21.97,3.52,6.98,7.92,3.55,26.0,63.32,69,0.0,20,1,3,7,2016,194,12,28,194.83333333333334,0,1,6.503333333333333
2016-07-12 21:00:00,18.1,2.32,5.65,6.864,3.266,26.0,58.92,61,0.0,21,1,3,7,2016,194,12,28,194.875,0,1,6.398
2016-07-13 07:00:00,27.84,8.56,4.25,9.304,5.726,25.5,69.21,83,118.0,7,2,3,7,2016,195,13,28,195.29166666666666,0,1,5.7620000000000005
